guid	entry_status	major	in_school_earning	fin_aid_0	fin_aid_3000	fin_aid_10000
8cb49c50-61d4-4c8b-ae69-f4bec32b40db	FTF	Accounting	0	16.65962305	19.54341788	29.25716868
f31c5c8a-c332-4d2f-8ffa-778fa8e08a93	FTF	Accounting	4500	21.19879868	25.10956005	40.85082826
eb68ca3f-48f7-4280-9887-aaeb51d2bffc	FTF	Accounting	10500	30.22420012	37.53984347	81.7440972
51c7b625-5b23-4444-a44a-e849a1ca0a71	FTF	Advertising	0	9.864830665	12.11833592	20.03008071
7f114875-2c7b-46ce-8244-e8f6f7414100	FTF	Advertising	4500	13.42861502	16.58450959	30.15917487
723bb244-8c73-4a98-80b7-839215ab4fe7	FTF	Advertising	10500	20.84774913	27.19614681	72.44765722
d019a8e7-0d9d-4769-b361-fc681e6398c3	FTF	Aerospace Engineering	0	19.9660269	23.22893961	34.59283628
e2f95087-5794-468d-9e99-028ed2d052ca	FTF	Aerospace Engineering	4500	25.11981945	29.65300123	49.61621467
eb9ea54a-d90d-4ec2-97e3-ffc708c80e39	FTF	Aerospace Engineering	10500	35.76906699	45.07882267	107.1580344
ac0171cc-db65-4a6e-81a2-bbee7fa71fd7	FTF	African-American Studies	0			
98d7a75c-2dc4-46e0-8e6d-73b4afd97a52	FTF	African-American Studies	4500			
1c3d1d75-b169-4396-acce-782c2a8ed3da	FTF	African-American Studies	10500			
75943e69-9cfd-47b8-8ca0-c5c4dc7bd7e2	FTF	Agricultural Biology and Plant & Irrigation Science	0	13.73541583	16.77205341	28.37606481
79b83f66-ae26-4929-9973-80ed2105e78c	FTF	Agricultural Biology and Plant & Irrigation Science	4500	18.58117815	23.09392402	50.48204502
47b89571-80e9-4166-a3df-584a96de2f63	FTF	Agricultural Biology and Plant & Irrigation Science	10500	29.7079995	42.03394344	76.79492217
e212796d-3bce-4282-a2cf-d00ec59ec602	FTF	Agricultural Business	0	12.10192496	14.59851515	23.52283788
6415efcc-3df7-4730-9931-c744b1830182	FTF	Agricultural Business	4500	16.05642868	19.59355938	36.01930936
7ce19611-fe7a-4572-96e2-bb12e90bee6c	FTF	Agricultural Business	10500	24.4705886	32.14960843	92.61225086
9c621de0-fbf7-4537-a206-4833be87d11c	FTF	Agriculture/Agricultural Science & Horticulture	0	8.957902155	11.09433739	18.61194412
b8638e59-0b5a-44fe-a430-3e6f37fbe4df	FTF	Agriculture/Agricultural Science & Horticulture	4500	12.33749097	15.33648375	28.0181607
efeeae9c-da6a-4152-957f-7474b11f3c1a	FTF	Agriculture/Agricultural Science & Horticulture	10500	19.38741348	25.32852066	59.78483552
3a944182-fdbb-4873-8d52-329e584bd4b1	FTF	American Studies	0	8.130901896	10.11730759	17.41250401
0757f382-d17b-4e53-8106-5422cab0ac68	FTF	American Studies	4500	11.27936687	14.13394549	29.39301689
33c80a41-ae43-4366-9351-4e5113cbbed6	FTF	American Studies	10500	18.22692079	25.32227316	67.78413278
a7bcb17f-ad7d-4021-b8ee-b5657f14df7d	FTF	Animal Science/Animal Health Science	0	6.782876509	8.573567303	14.91218382
e5a1bcb9-d239-4e26-a123-6fad0b136284	FTF	Animal Science/Animal Health Science	4500	9.608641399	12.11212271	24.02907457
e6abb63c-34c5-46b6-bbb0-8e9255aac2fc	FTF	Animal Science/Animal Health Science	10500	15.59321899	21.18866153	66.32593458
ae23da57-12ad-42bc-9498-61698d4fbdf4	FTF	Anthropology	0	5.629308032	7.204955225	12.55264976
90ea8a9a-c57b-4b73-8ce8-06d229f4d2c8	FTF	Anthropology	4500	8.100780468	10.22711397	20.07720004
6b706609-3f36-46be-97ed-4ea5798d3ffb	FTF	Anthropology	10500	13.11261435	17.70203747	65.31903137
68b22b73-d05e-40d8-af48-14222bddcec9	FTF	Apparel Merchandising and Management	0	9.156067533	11.55550045	21.1684001
d7e1bd43-cbe2-4e2b-b895-cd409024ec1a	FTF	Apparel Merchandising and Management	4500	13.00508365	16.70621244	38.43638627
e7c4fdf2-94b1-4c7b-8a65-77b0efc40f5e	FTF	Apparel Merchandising and Management	10500	22.30428526	32.47300639	116.5696624
84db8a66-ebe9-4c4f-963b-dcfb95ed834e	FTF	Applied Mathematics	0	8.524181915	10.45762535	16.85193774
dc23f771-3af0-4077-acb2-f39986b98fe3	FTF	Applied Mathematics	4500	11.55882485	14.14263546	24.06195997
937a78e0-d44c-4d9b-a7d0-80cba00d86a9	FTF	Applied Mathematics	10500	17.4771855	22.08023749	45.86668457
9500ce21-65e2-4865-9471-ba010d4d978c	FTF	Applied Physics	0	8.950509831	11.04586095	18.50090359
b0d7a1b4-7143-4d4d-8fba-8a98b8ecb146	FTF	Applied Physics	4500	12.26517814	15.21980015	28.79372602
697d0084-2a97-448f-b5d0-639e0e4503f2	FTF	Applied Physics	10500	19.29156014	25.65060387	72.20366028
08aa4568-d59b-493a-a3b2-d2227c0c5481	FTF	Architecture	0	11.9499731	14.41826038	22.8396096
65d71e20-5826-4a7b-b9a1-b9b01fc5c77f	FTF	Architecture	4500	15.84324255	19.23019197	32.8366686
b3038f0a-b1b2-48db-b792-9ba0debf529f	FTF	Architecture	10500	23.68136758	30.01214579	59.984947
3fda5344-93bc-4231-a3f9-5d59169f0b17	FTF	Art	0	6.994742351	8.819296413	15.35253088
d525ac76-7563-49a2-a9fb-e7461351cf0f	FTF	Art	4500	9.877233312	12.4484039	25.2579996
0becba9d-73ed-477c-a90f-ff748ad3a1f2	FTF	Art	10500	16.06497169	22.0624216	71.74652912
0f70d0b3-a0d0-42d6-9058-a253174eeb04	FTF	Art History	0			
8c5f4bed-5205-4ab9-a302-cc46d7c11e1d	FTF	Art History	4500			
817a9118-739f-47bb-a97b-92631ed6d94a	FTF	Art History	10500			
c23aaeb1-5071-4471-bf02-c67ee1935dd7	FTF	Asian/Asian-American Studies	0	6.412277116	7.899652714	12.43407737
74edcb0c-1f85-45d1-9464-705b06900385	FTF	Asian/Asian-American Studies	4500	8.720360901	10.57746039	17.02471443
33c2f827-ef86-44a2-9ea6-547513a3d2a7	FTF	Asian/Asian-American Studies	10500	12.85098077	15.80676184	30.54318074
d2f84479-e838-4fba-b9a5-f89a35f77a03	FTF	Asian/East Asian Studies	0	9.242526056	11.42465681	19.3188293
f27c526f-5af3-40cc-8523-b6267dab25eb	FTF	Asian/East Asian Studies	4500	12.7021252	15.82038734	30.52262388
4f80e04b-db2f-401b-a7a1-363de904546b	FTF	Asian/East Asian Studies	10500	20.16716904	27.06326775	80.42777412
830016e6-33d5-4bc8-93c4-017e81548037	FTF	Athletic Training	0	9.000309821	11.19873928	19.69053112
9c2238c1-1471-4d96-af1f-c030f7dc0284	FTF	Athletic Training	4500	12.50495574	15.78313557	36.63290827
718e492d-36cd-4ed4-b91a-b85dcb547f7a	FTF	Athletic Training	10500	20.68951421	30.12866872	145.0054009
3c142f1f-540b-4437-aecc-e68702c6adf3	FTF	Aviation	0			
ab28783c-a40a-421e-92d0-0ab2367adca3	FTF	Aviation	4500			
9c80b976-ebb2-4e16-a973-9dc2cf082079	FTF	Aviation	10500			
bf2a04ca-f533-4927-b91a-6521906953a2	FTF	Behavioral Science	0	6.657777608	8.205167583	12.90825121
3a0fdd16-ca8b-4dcf-bc49-c1183600c054	FTF	Behavioral Science	4500	9.059203311	10.98889909	17.56468581
61dd922d-0294-4d8f-b0f8-518c36541496	FTF	Behavioral Science	10500	13.33711152	16.34540288	30.00137358
645309e6-7d31-4532-9560-ed18b06e1775	FTF	Biochemistry	0	8.765889958	11.00764488	19.67305098
9a1ab5bf-00d2-46c7-b27e-870ba5e95793	FTF	Biochemistry	4500	12.34366137	15.70034223	34.97051376
3d64a7b7-a178-482b-bf07-f8a5c1ea441e	FTF	Biochemistry	10500	20.67673994	29.65058128	158.803914
fd1c6ded-6e83-463b-b578-c44b55ad762c	FTF	Biology	0	10.11084259	12.34182776	20.45012872
873a9bcb-bdeb-4585-b557-3e27ac34ac6c	FTF	Biology	4500	13.64772384	16.84012148	32.75633487
f3f36af1-350a-4abe-8bcb-6cda837fdfbd	FTF	Biology	10500	21.33409644	28.76197841	98.47776773
4f91561a-0392-449f-bad6-4a140629aacb	FTF	Biomedical Engineering	0	9.998979657	12.50824536	22.68850762
14ad7cb0-4db8-4866-be6b-b993d9d602fd	FTF	Biomedical Engineering	4500	14.02711689	17.92183739	43.89102702
ee8eaa1b-28c8-4382-bd36-ae4e0d88efaa	FTF	Biomedical Engineering	10500	23.92345531	35.75296197	86.12490368
ae89e0c1-5597-48fe-8087-9f9f56153477	FTF	Biomedical Physics	0			
0720184f-ced0-463f-81d0-4e167a3d1205	FTF	Biomedical Physics	4500			
fca3c29a-317c-4945-898e-3610cc6d1834	FTF	Biomedical Physics	10500			
adc7f8c2-5746-418f-942f-9207a5503537	FTF	Biotechnology	0			
8c8e09fa-ef6f-4525-a118-40b05fe48b24	FTF	Biotechnology	4500			
d76b938c-5520-4007-9097-57d8a5d91d7a	FTF	Biotechnology	10500			
83161385-34dc-4114-9834-3a890ed8794f	FTF	Botany	0	9.244694613	11.43283945	19.37439569
1b9ba4b3-5179-4c1f-a0ac-910a86c9ee29	FTF	Botany	4500	12.71507241	15.84944115	30.73098727
53c26022-af5b-4cc0-8764-1598caa9e5b3	FTF	Botany	10500	20.23060184	27.21275427	82.28572458
fd5d9d7c-0baf-4d94-9e50-7a90f0f435db	FTF	Business Administration	0	9.617828914	11.73169032	18.88017293
28c3061a-dce9-4a0c-ba63-7dd5c88b3355	FTF	Business Administration	4500	12.94546714	15.82091074	27.33255476
774cc0fa-badb-4380-9812-44cd43789b26	FTF	Business Administration	10500	19.59343795	24.95157148	56.9100208
c50287d2-c454-4357-8e28-adec871fabd0	FTF	Business Economics	0	9.547179367	11.78640993	19.82947721
4bce49ae-1684-4d36-b969-679ae9aa8792	FTF	Business Economics	4500	13.09656804	16.28466643	30.74489929
47624aa3-2045-4c15-b6a7-4220dc7bb3c3	FTF	Business Economics	10500	20.68184896	27.46549123	84.73261991
0f33c102-d973-4207-a7ad-d069063140be	FTF	Business Law	0	5.162209544	6.463421713	10.20391414
1c2c4db9-6300-4c49-a8d6-b5d2b8c3f76e	FTF	Business Law	4500	7.166468569	8.715738207	13.60592567
7063c5da-09c5-469b-b290-311b359f66dd	FTF	Business Law	10500	10.52941952	12.74290767	21.25770876
974c184c-883f-4704-8a05-8fd966e66c74	FTF	Cell and Molecular Biology	0			
9210a536-767a-4153-969c-419b57cd68aa	FTF	Cell and Molecular Biology	4500			
e5a29db2-bce6-48a5-8184-adefa42bf58e	FTF	Cell and Molecular Biology	10500			
6e650cf4-6d73-4833-9d89-2098e92fea28	FTF	Chemical Engineering	0	20.7815154	24.10075541	35.99517385
afef5b75-a718-40e6-8765-cb280869bf55	FTF	Chemical Engineering	4500	26.03973238	30.74628633	53.30794797
3668f5b2-3618-4b75-94b4-62820c064695	FTF	Chemical Engineering	10500	37.26805145	47.78211019	112.6688352
ddb5d16e-cc62-4d18-b0ff-17c9c81d8536	FTF	Chemistry	0			
d80bfadd-fca8-4d1e-9af7-960b6782d2be	FTF	Chemistry	4500			
da90610a-81eb-4820-b9fb-7a6650eacaff	FTF	Chemistry	10500			
5365181e-8e5a-49cf-bcb1-0600e0d47100	FTF	Child Development	0	7.255012263	9.10130445	15.56073146
a465a6ab-7ab0-4f54-a932-52baf8d7bd95	FTF	Child Development	4500	10.16684601	12.73087599	24.32016025
02e31623-a49a-49dc-b91a-f676375860e9	FTF	Child Development	10500	16.24083984	21.67620482	65.10325447
afa57123-a685-41b1-906d-f1ea97f9b513	FTF	Chinese	0	9.244694613	11.43283945	19.37439569
1b0007f6-32f6-44b9-98fe-7c30346b7b53	FTF	Chinese	4500	12.71507241	15.84944115	30.73098727
5f51269f-af92-46f8-adfb-15fbbcab1ace	FTF	Chinese	10500	20.23060184	27.21275427	82.28572458
9778168d-8485-4528-9046-d9205ddb9e50	FTF	Cinema/Film	0			
dc6f0536-a03c-42be-b37b-391c0962bb96	FTF	Cinema/Film	4500			
060b8c0f-a3ca-428e-8951-30f41d6e6948	FTF	Cinema/Film	10500			
a9d5c618-9dc6-404f-80fe-f4d8e7b4eef8	FTF	City and Regional Planning	0	9.42792437	11.38453963	18.08909341
ae3ac11e-30ca-4ed4-9efd-b55e9fc8e4f0	FTF	City and Regional Planning	4500	12.50741153	15.18274857	26.9615666
0b3e42f5-a327-43d0-ac94-14cb84fa3897	FTF	City and Regional Planning	10500	18.78127237	24.27382671	57.73254844
086e7d0d-5c41-4839-9385-09bd65875fe2	FTF	Civil Engineering	0	16.40806259	19.326229	29.44396112
0661d82b-cb41-4afd-8760-804541218f8b	FTF	Civil Engineering	4500	21.01704298	25.06302174	42.34019574
947f81f5-be32-4704-abe3-6bf49b1e7206	FTF	Civil Engineering	10500	30.48034308	38.53946598	94.71326983
01ff8dcd-5e67-4707-82a1-05d014ae4d61	FTF	Classics	0	7.713791219	9.497718911	15.49104074
3b5adb25-ac5d-43ea-8ed7-d8420e0d46ff	FTF	Classics	4500	10.5139631	12.91504815	23.0763717
f7a2ee26-d6ee-469e-9c25-353afa3663af	FTF	Classics	10500	16.09913908	20.83332092	52.54504899
e8c1cca8-2737-4216-9b59-16b5c68b334b	FTF	Communications	0	9.165453581	11.35532419	19.30172279
235bf220-781a-4bce-a060-92a34d75194f	FTF	Communications	4500	12.63864624	15.77547578	30.64139782
09841020-308e-417a-853b-6f8d6437473d	FTF	Communications	10500	20.15785658	27.13215953	86.51476157
4f7d2fe7-32c5-47f4-9807-ea2c24fa0081	FTF	Communicative Disorders	0	8.207169957	10.24415181	17.70726503
1626539b-a146-4957-92bd-3c9724080622	FTF	Communicative Disorders	4500	11.4373558	14.36637608	29.19133717
f4c76bdc-0869-48c1-af19-7a6942c96dd1	FTF	Communicative Disorders	10500	18.52985715	25.47426803	83.81404553
8c1cd0ef-077e-4bdb-9b0b-931b3f145437	FTF	Comparative Literature	0	6.078252404	7.562566443	12.33336456
120615a0-2aa1-4413-b9de-5610af9d7e0e	FTF	Comparative Literature	4500	8.392633959	10.31563039	18.21911911
9d774d60-87a2-4068-af15-95980393679d	FTF	Comparative Literature	10500	12.80506939	16.46341697	43.76213541
1ca0b71d-48d0-47d0-9e74-427b473fbcb2	FTF	Computer Engineering	0	18.46976223	21.98363584	34.74819679
dee4f22c-e66c-4a53-a37f-379e1ca6e958	FTF	Computer Engineering	4500	24.04551507	29.07883008	54.23141522
785af12a-ec7f-4691-af82-5060492ce92c	FTF	Computer Engineering	10500	36.13412699	47.82661005	139.7490284
5b468aee-bca8-4b37-a0cf-4377aaea4585	FTF	Computer Engineering Technology	0			
7114189c-416b-4576-990b-f37deb634f0d	FTF	Computer Engineering Technology	4500			
3c146c26-9002-4ab1-965e-2e51441a290f	FTF	Computer Engineering Technology	10500			
5f27af4e-4cc8-453b-8abd-42b7bebb7953	FTF	Computer Science and Information Technology	0	17.18241635	20.18488591	30.65227386
3a8371c3-5960-4874-a433-8c1b95420b51	FTF	Computer Science and Information Technology	4500	21.92625239	26.10297238	44.39996177
e28ca534-f5ab-4f32-9707-6ac3c8f2e303	FTF	Computer Science and Information Technology	10500	31.73441704	40.269473	100.5945824
f9463d05-ecfe-4582-94cf-0e28d0d0ca68	FTF	Construction Engineering Technology	0	19.23449521	22.09389866	31.43534
aa9ab15f-33be-4bf5-897b-9ecbc05eb763	FTF	Construction Engineering Technology	4500	23.71829518	27.50449083	41.8543942
bbab09b9-c653-4a63-aa79-5422dfacebea	FTF	Construction Engineering Technology	10500	32.33822469	38.97701735	80.37213225
fab8ef61-cf2f-44b9-8386-25c1a02828b8	FTF	Creative Writing	0	7.560467508	9.380664986	15.81652235
f2947966-104c-4b2d-b860-3645fa7f1426	FTF	Creative Writing	4500	10.43121262	12.96898963	25.84322024
d5a9858d-89e4-48ba-a791-79c76918761f	FTF	Creative Writing	10500	16.51432117	22.4787604	59.65239279
bf50a642-01a5-4b56-af37-cf6569eb814f	FTF	Criminal Justice	0	8.894213035	10.85477846	17.40686332
c6a7828c-3c84-4561-bf9f-bd4f4da3f6c1	FTF	Criminal Justice	4500	11.9740541	14.6121227	25.13226054
04e2497b-7ae8-4086-b887-8d7ff16dad3b	FTF	Criminal Justice	10500	18.05773584	22.95107701	51.72455189
275b59bd-22af-4e02-b1b8-22756caf351e	FTF	Cultural Resources Management	0	8.980444005	11.05871358	18.29840515
bf9413e5-baaa-4267-932b-51e5654b9ebc	FTF	Cultural Resources Management	4500	12.26159138	15.14962955	27.56775525
97738fbb-8ffa-4966-8521-4c48097db204	FTF	Cultural Resources Management	10500	19.04591525	24.85612397	65.87373263
c02b1ca0-95d0-40be-a246-4e434c3e11f3	FTF	Dance	0	4.324636398	5.770585744	10.72507767
2dd27391-4933-4bde-ad11-44a0f283a2ec	FTF	Dance	4500	6.59081333	8.544724169	19.05458078
64bf26d2-97c4-42c9-9b4c-ecf9d8c2be01	FTF	Dance	10500	11.26288451	16.06071093	114.2998644
8023b428-ae55-4969-8352-7f73bca3763a	FTF	Dance - Performance	0	7.571642186	9.315523797	15.10662513
4f73593d-d705-4ac9-a278-8992fedc9fae	FTF	Dance - Performance	4500	10.3050849	12.63112382	22.2612712
2ce1b72c-ec7c-4617-95df-64fc3d262596	FTF	Dance - Performance	10500	15.68782999	20.16821513	48.31685891
9150a752-971f-43ce-a1fc-4ccfdd031d68	FTF	Deaf Studies	0	8.14528154	10.27806302	18.61282853
c2892016-8785-48a8-b3a5-13278a8fea7b	FTF	Deaf Studies	4500	11.55030773	14.76258366	33.8533699
2be863c8-f7b9-4fe5-a424-816df1c7fb4b	FTF	Deaf Studies	10500	19.59536864	28.5202729	125.5476288
0cfbd816-d882-490e-bad5-bd0ce3bae3a7	FTF	Design	0			
c2461206-f7f9-4037-98fb-812666851857	FTF	Design	4500			
89eb8831-d098-4d28-973c-fa50b3278d57	FTF	Design	10500			
e9d73f99-a44b-400e-a55e-c82dd7e9a3da	FTF	Dietetics/Nutritional Science	0	12.72004803	15.84138047	27.99211346
f002d1d3-3eb2-43a3-b89d-cb496aae5833	FTF	Dietetics/Nutritional Science	4500	17.72457414	22.46305548	48.207412
a7cef84a-1fb9-42b8-8c3c-20964de403a5	FTF	Dietetics/Nutritional Science	10500	29.36881343	41.33588216	163.4951185
8239609d-a2b3-407b-858d-4ae49e20c1be	FTF	Earth Science	0	8.803410598	10.81665054	17.67534606
b3e6aa28-4888-4f1f-b0a8-cc8ba05bb502	FTF	Earth Science	4500	11.97383417	14.72502311	25.98146223
5819c1e0-f563-4c44-afe1-3a173cd3cd18	FTF	Earth Science	10500	18.36737032	23.61920573	65.73478034
2ab277bc-af71-4a87-b3a9-b533fa6bc812	FTF	Economics	0	8.60510128	10.46451242	16.66033049
6a96544c-e315-407f-8bee-f3e42756ebce	FTF	Economics	4500	11.5229248	14.0143355	24.13815173
e43a6e0c-a373-4166-89eb-dfdcb02cac30	FTF	Economics	10500	17.27918288	21.99056812	52.07746117
57774bc7-0ffb-4090-9d15-e277feaed3d4	FTF	Education: 08011 + 08031 + 08081 + 08225	0	8.987195774	11.52637191	21.83565565
eee12c92-b2a4-4a6a-a562-874da132e672	FTF	Education: 08011 + 08031 + 08081 + 08225	4500	13.08160624	17.08649254	36.85471111
b965deba-3445-488d-a3bc-cf328615d88a	FTF	Education: 08011 + 08031 + 08081 + 08225	10500	23.0066857	32.39297357	95.28650476
6200f8be-95b7-45bd-a9a9-0021e0edca2e	FTF	Education: 49081	0	13.57507169	16.53485788	26.95338173
67b59d3e-8e31-460f-b989-6ef888432025	FTF	Education: 49081	4500	18.26471725	22.43060264	40.08004831
1f7fc5f3-1177-469a-9cfa-7fc09e950358	FTF	Education: 49081	10500	28.02164948	36.26000345	96.27235022
09599356-973d-4330-98ac-7caa4cbf6663	FTF	Electrical and Electronic Engineering	0	20.37459845	24.11245006	37.26938631
88a90372-c041-46b3-bbf9-c6229a800b0f	FTF	Electrical and Electronic Engineering	4500	26.2824393	31.50776507	55.84853987
a6354a01-6047-4281-a46f-90d0925a3f40	FTF	Electrical and Electronic Engineering	10500	38.65697262	49.98749958	139.9544341
c61e3c85-771a-418b-9a81-0d981274a363	FTF	Electrical Engineering	0	17.87481587	20.8722241	31.08838053
d824d84f-922b-4104-90d4-4e1833e46b28	FTF	Electrical Engineering	4500	22.59836819	26.69753977	43.75530999
f5ac3968-1ed6-46d3-846c-e3c410d39272	FTF	Electrical Engineering	10500	32.12022194	40.06014614	94.26153839
284b419a-fa47-4918-8db0-a59c6dd2d60c	FTF	Electronic Engineering Technology	0	16.18339105	19.10902015	29.31433127
95eb16b4-643c-4de4-aca4-4ac795e03d40	FTF	Electronic Engineering Technology	4500	20.80685282	24.88048933	42.58863604
604257db-2a81-42e5-ac78-30e4c31e3843	FTF	Electronic Engineering Technology	10500	30.36758222	38.63268041	105.69592
e7b8ded9-7721-42ac-a0f5-24e585483f7f	FTF	Engineering	0	17.12343166	20.13750329	30.06908128
f9e4b6e9-501d-404a-b89c-5d65ba8f86aa	FTF	Engineering	4500	21.85688404	25.87868031	41.24402909
72dbe739-8f40-42f3-9d4e-c869123d7450	FTF	Engineering	10500	31.03333753	38.14545146	83.03321967
fef02cee-b7e5-4598-bc44-b16550ec475e	FTF	Engineering Technology	0	16.7538678	20.11384722	32.12113974
2859c1b2-dca7-4772-9731-4d3d0af6bd6a	FTF	Engineering Technology	4500	22.08243471	26.85458777	48.36244151
5888bfea-2b68-4a65-98ab-891ffb97b3ad	FTF	Engineering Technology	10500	33.38311222	43.44084763	193.0296791
6d0816e9-2d03-426c-b665-695ab1191e83	FTF	English	0	8.333680735	10.38695744	17.9266667
2b71fee8-6eae-470d-b929-8647ad1c78d3	FTF	English	4500	11.59063154	14.54817859	29.57369679
f4c2beb3-b518-44de-a5c9-8e2423e3c59b	FTF	English	10500	18.75937555	25.80107735	125.28304
ca9bddc6-d92e-48e7-8768-02f86a185154	FTF	English Literature	0			
22d05a3a-82b1-4260-b63d-144a334811c9	FTF	English Literature	4500			
449437db-aa58-4849-9a6d-e1ef0d71b778	FTF	English Literature	10500			
d05aa5e5-225d-4b2c-bdf4-0ac8acfd2352	FTF	Entrepreneurship & Small Business Management	0	9.692132287	12.01630075	20.72305233
92fbce0f-ecf6-47ea-bbf4-6ad97113f767	FTF	Entrepreneurship & Small Business Management	4500	13.39197866	16.80090825	34.40686038
c5d5007a-1ca1-42b0-b11c-b574a4ba1b6b	FTF	Entrepreneurship & Small Business Management	10500	21.69214009	29.92617854	73.12700962
eaa3137f-6dcf-43e0-867b-6231f2bf39ce	FTF	Environmental and Occupational Health	0	12.0396983	14.28363837	21.45587075
